Jumlah Beras
6776757.00
6792520.00
6542875.00
6455129.00
6535429.00
6871953.00
5838159.00
5793463.00
5546994.00
6068655.00
6185521.00
5952090.00
6265660.00
5607214.00
5517514.00
5427814.00
5338115.00
5248415.00
5158715.00
5069015.00
5041576.10
5272153.50
5148068.60
5542478.00
5219374.00
5180201.84
5262925.00
5447806.31
